Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prime/v1/move-task-orders,1462,1230,36000.0,40177.22452811225,122.98989999908372,211520.3122999992,101417.86525307798,1.4040838236611306,1.1812743523277638,36000,50000,56000,62000,81000,101000,133000,148000,196000,212000,212000
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,1457,1256,32000.0,33614.047129855855,95.63100000013947,178378.43280000016,386.5916266300618,1.3992818953996355,1.2062443792875377,32000,45000,50000,55000,69000,80000,91000,99000,160000,178000,178000
POST,/prime/v1/mto-service-items,1456,1297,36000.0,39077.410329945014,97.9230999982974,217230.593100001,88.85508241758242,1.3983215097473367,1.2456201910317966,36000,50000,56000,63000,81000,91000,126000,146000,209000,217000,217000
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},325,325,32000.0,31640.54747507705,120.75069999991683,124797.82390000037,41.43076923076923,0.3121253369971734,0.3121253369971734,32000,41000,48000,50000,65000,76000,90000,100000,125000,125000,125000
POST,/prime/v1/mto-shipments,1536,1154,33000.0,34880.86900019528,84.94079999945825,182729.2204000005,448.822265625,1.4751523619312563,1.1082850427530402,33000,47000,52000,56000,69000,82000,97000,114000,162000,183000,183000
PUT,/prime/v1/mto-shipments/{mtoShipmentID},1489,1322,36000.0,37393.050203089326,120.94789999900968,196032.6838999972,284.0570852921424,1.4300142362732036,1.2696298323392714,36000,48000,53000,59000,77000,88000,117000,141000,192000,196000,196000
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},1478,1086,19000.0,21457.367459201556,108.22850000113249,160100.61970000243,134.14546684709066,1.4194499940979146,1.0429788183967086,19000,30000,32000,36000,46000,55000,68000,86000,135000,160000,160000
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},1459,1062,19000.0,22235.936666963767,89.53789999941364,182014.80489999813,155.16792323509253,1.4012026667042337,1.0199295627415326,19000,31000,33000,36000,47000,59000,78000,87000,116000,182000,182000
POST,/prime/v1/payment-requests,1539,1515,20000.0,22090.82629486683,79.01940000010654,179437.2602000003,98.50552306692657,1.4780335188881533,1.4549842632329772,20000,30000,32000,36000,47000,55000,69000,83000,136000,179000,179000
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,1452,727,17000.0,19933.95363291996,122.35409999993863,101056.34999999893,146.68250688705234,1.3944799671381407,0.6982003692213693,17000,27000,32000,33000,42000,51000,66000,77000,93000,101000,101000
POST,/support/v1/move-task-orders,2269,1019,11000.0,16252.134141472063,73.99850000001607,94852.19820000202,1057.28735125606,2.1791150450664194,0.9786329796926758,11000,21000,29000,32000,36000,44000,54000,63000,86000,95000,95000
GET,/support/v1/move-task-orders/{moveTaskOrderID},1,0,89.41730000151438,89.41730000151438,89.41730000151438,89.41730000151438,1843.0,0.000960385652298995,0.0,89,89,89,89,89,89,89,89,89,89,89
PATCH,/support/v1/move-task-orders/{moveTaskOrderID}/available-to-prime,1175,983,43000.0,54447.212099829936,96.65600000153063,243838.21799999714,306.27744680851066,1.128453141451319,0.944059096209912,43000,51000,57000,61000,116000,162000,199000,210000,229000,244000,244000
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,2163,2036,36000.0,37595.89422639848,85.72980000099051,215550.2774000015,42.854831252889504,2.077314165922726,1.9553451880807537,36000,50000,55000,61000,78000,88000,110000,137000,171000,216000,216000
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,2141,1972,31000.0,28580.291431013473,75.86829999854672,250184.26460000046,212.75618869687062,2.056185681572148,1.8938805063336182,31000,36000,45000,49000,60000,72000,83000,91000,242000,250000,250000
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,2142,2124,42000.0,43747.11901526612,120.52239999684389,265145.52270000055,15.216619981325863,2.0571460672244473,2.039859125483065,42000,52000,61000,65000,82000,116000,198000,213000,263000,265000,265000
GET,/support/v1move-task-orders/{moveTaskOrderID},2241,2015,42000.0,41495.88210098171,89.57469999950263,258090.31379999942,481.50736278447124,2.1522242468020476,1.935177089382475,42000,52000,60000,64000,82000,94000,154000,187000,243000,258000,258000
,Aggregated,25785,21123,31000.0,32627.83035739765,73.99850000001607,265145.52270000055,6022.927089393058,24.763544044529585,20.286226133511672,31000,42000,49000,53000,67000,83000,115000,152000,231000,263000,265000
